image;id;name;name2;description;price;url;category
products_img\\packages\\1cc_touch_of_forever.jpg;1063;Touch of Forever;Докосване до Форевър;Пакет от популярни продукти от Forever Living Products, предназначени да ви запознаят с предложенията на марката.;1 116.34 лв.;1063.html;Пакети
products_img\\packages\\330ml_forever_aloe_vera_gel_argi_tripack.jpg;1064;ARGI+ & Aloe Mini TriPak;ТриПак АРГИ+ и Алое мини;В пакета ще откриете три мини опаковки гел от алое вера по 330 мл и три пакетчета Арги+.;75.19 лв.;1064.html;Пакети
products_img\\packages\\StartYourJourneyPack.png;1065;Start Your Journey Pack;Пакет „Стартирай пътешествието си“;Ако търсите начин да започнете собствен Форевър бизнес или да пазарувате продуктите на Форевър Ливинг с 30% отстъпка, този пакет може да ви заинтригува.;Само за преференциални клиенти;1065.html;Пакети
products_img\\weight_control\\FOREVER_ULTRA_CHOC_SHAKE.jpg;1066;Forever Lite Ultra with Aminotein chocolate;Форевър лайт ултра с аминотеин шоколад;Протеинова добавка, която предоставя 17 грама протеин от растителен източник на порция със страхотен ванилов вкус.;57.23 лв.;1066.html;Контрол на теглото
products_img\\weight_control\\FOREVER_ULTRA_VANILLE_SHAKE.jpg;1067;Forever Lite Ultra with Aminotein vanilla;Форевър лайт ултра с аминотеин ванилия;Протеинова добавка, която предоставя 17 грама протеин от растителен източник на порция със страхотен шоколадов вкус.;57.23 лв.;1067.html;Контрол на теглото
products_img\\weight_control\\FOREVER_PLANT_PROTEIN.jpg;1068;Forever Plant Protein;Форевър Растителен протеин;Веганска, безмлечна и без соеви продукти протеинова добавка, която предлага 17 грама протеин на порция.;127.62 лв.;1068.html;Контрол на теглото
products_img\\weight_control\\Forever_Sensatiable.jpg;1069;Forever Sensatiable;Форевър Сенсейшабъл;Естествено подсладена дъвчаща таблетка, която помага за контролиране на апетита.;60.11 лв.;1069.html;Контрол на теглото
products_img\\weight_control\\FOREVER_LEAN.jpg;1070;Forever Lean;Форевър Лийн;Помага за блокиране на абсорбцията на калории от мазнини и въглехидрати.;86.44 лв.;1070.html;Контрол на теглото
products_img\\weight_control\\FAST_BREAK_BARS.jpg;1071;Forever FastBreak;Форевър Фаст Брейк;Вкусен, пълен с витамини и зареден с 11 грама протеин.;10.31 лв.;1071.html;Контрол на теглото
products_img\\weight_control\\DX4_BODY_BALANCING_SYSTEM.jpg;1072;DX4 Body Balancing System;DX4 Балансираща програма;Четиридневна програма, която помага за рестартиране на вашето физическо, ментално и духовно здраве чрез седем хранителни продукта, практики за установяване на мисленето и ръководство за приемане на храната.;320.50 лв.;1072.html;Контрол на теглото
products_img\\weight_control\\forever_clean-9.jpg;1073;Clean-9;;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1073.html;Контрол на теглото
products_img\\weight_control\\f15_vanilla.jpg;1074;F15;;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1074.html;Контрол на теглото
